sentence_id,kankanaey,english
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope."
73,Man-a ka.,Take some more.
74,"Osto, enggay nabsogak.","Im done, I'm already full."
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.
76,Man-inomak kod.,Please give me something to drink.
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?
78,Nalalakaey abe.,It is already cheap.
79,Ay tan pigay laydem?,How much do you want then?
80,Sinoy nangamag sina?,Who made this?
81,Ay malanko kas baskit?,Would you like to buy a basket?
82,Initdon nanang ko.,My mother taught me.
83,Egenak kod ay.,Let me carry it for you.
84,Manlogan ka sin bas ay doy.,You take the bus there.
85,Omonad ka.,Follow me.
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle."
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.
89,Emey samet ay wao ay olas.,Maybe around eight hours.
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.
91,Intos das tatang yan nanang mo?,Where is your mother and father.
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.
93,Manikid kas di.,Climb up there.
94,Bomallalong kas na.,Come down here.
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.
96,Mandisaagak sina.,I will get off here.
97,Imbag ta naagew.,Good thing it's sunny.
98,Man-atong tan tiyagew.,It's hot because it's the dry season.
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.
101,Sinoy olas ay palogian di miting?,What time will the meeting start?
102,Ay mabayag pay?,Will it take a long time?
103,Sinoy olas?,What time is it?
104,Naladaw ka.,You are late.
105,Itnengan yo agan-o.,Listen first.
106,Isten yo ay mangitneng.,Listen carefully.
107,Songbatam.,Answer it.
108,Imanglet mo ay mamasa.,Read it louder.
109,Din mata yoy mamasa.,Use your eyes to read.
110,Kasin yon adalen.,Study it again.
111,"Way ibagak, songbatan yo..","I will ask a question, then you answer."
112,Ipikam.,Stand up.
113,Itokdom.,Sit down.
114,Itag-ey yon takkay yo mo ammo yo din songbatna.,Raise your hands up if you know the answer.
115,Adak ammo no sak-en tu met laeng.,I don't even know if I'm still the one.
116,Siya.,Indeed.
117,Annay!,Ouch!
118,Baken.,Wrong.
119,Intoy panlakoak si dyalyo?,Where can I buy a newspaper?
120,Intoy panpalipilan das linos?,Where can I get a watch repaired?
121,Intoy opisinan di tikit di talipyano?,Where is airplane ticket office?
122,Intoy danan ay emey ed malkit?,Where is the way to the market?
123,Intoy siged ay pangpanganan?,Where is a good restaurant?
124,Ay adawi pay laeng ed Trinidad?,Is La Trinidad still far away?
125,Kaam-ames ko.,I just took a bath.
126,Kauw-uwas ko.,I just washed.
127,Sinoy kanam?,What did you say?
128,Sinoy kanana?,What did he/she say?
129,Way nas di.,Come what may.
130,Gawis ay agew mo.,Good day to you.
131,Gawis ay agsapa.,Good morning.
132,Gawis ay masdem.,Good evening.
133,Gawis ay labi.,Good night.
134,Sinoy ngadan mo?,What is your name?
135,Sak-en si Allen.,I am Allen.
136,Sinoy am-amagen na ed wani?,What are you doing today?
137,Pig-an sumaa-am?,When will you go home?
138,Into si Allen?,Where is Allen?
139,Sinoy amagem no Domingo?,What will you do onSunday?
140,Sinoy laydem?,What/Who do you want?
141,Way esak ay ngiyaw.,I have a cat.
142,Way dowak ay logan.,I have two cars.
143,Waday tolok ay beey.,I have three houses.
144,Way opat ko ay lapis.,I have four pencils.
145,Way limak ay baket.,I have five wives.
146,Way enem ko ay siag-i.,I have six siblings.
147,Way pitok ay nowang.,I have seven pigs.
148,Way waok ay godak.,I have eight frogs.
149,Way siyam ay eweg.,I have nine snakes.
150,Way sinpok ay kiyap.,I have ten chicks.
151,Manogoga si Juan tan tainan di baket na.,Juan is crying because his wife left him.
152,Adi da ay emey.,That person is not coming
153,En ka alaen din gipan ko sin lamisaan.,Go get my knife on the table.
154,En ka ikdit din payew mo.,Go drain your pondfield.
155,Entako man obla.,Let's go work.
156,Omia ka kod si papil sin kantinan en Patricia.,Please get me some paper at Patricia's store.
157,Iaan yo kod si sak-en sin gatas.,Please get some of the milk for me.
158,Abaen naka mo emegyat ka.,I'll carry you on my back if you're afraid.
159,Omiaba ka en sis-iya.,Put me on her back.
160,Sis-iya di omabak ed niman.,It is he who will defeat me now.
161,Iabak ko amin din pilak mo.,I will win all your money.
162,Naabakan da kano si sinpo.,They were reportedly defeated by ten
163,Man-ab-abang kayo kano.,They say you are renting.
164,Man-inom kas sinat-ik ay tapey.,Drink rice beer a little at a time.
165,Nabaogan sa ay ipogaw.,That's a very old person.
166,Intoy pan-abatan ta?,Where shall we meet?
167,Nan-as begas ta ioto na.,She got some rice to cook.
168,Dinadael din otot din badok.,The rats have ruined my clothes.
169,Manames ak.,I am going to take a bath.
170,Emeyak pay.,I am going.
171,Deda ay mandadada din bagang na.,His neck was still bleeding.
172,Idaan mo ta adi da ak-akewen din abokado.,Warn them so they don't steal the avocados.
173,Edadem din bilkom ta lomibaw.,Loosen your belt so it will become loose.
174,Man-ed-ed tan adi na ammo ay manlangoy.,He is choking because he doesn't know how to swim.
175,Magmag-as di pantalona.,His pants are falling down.
176,Adim eg-egasen tan magopak.,"Don't drop it, because it will shatter."
177,Pag-en mo kod nan Esther.,Please have Esther carry this.
178,Adi ka manpag-en en sak-en tan mabbayak.,Don't lean on me because I'll get tired.
179,Iwed di matey si makilot.,No one will die from being dirty.
180,Pay-am si danom ta malnay.,Put water on it so it will soften.
181,Naenaban din ginawang.,The river has risen.
182,Entem san gayang.,Pull out that spear.
183,"Enggan mo kanam sa, baken met tet-ewa.","Even though you say that, it is definitely not true."
184,Gaatam din danan ta madalosan.,Cut back the weeds from the path so it will be cleared.
185,Sinoy in-gabon mo sin doy pagey?,What did you use to cover over that rice?
186,Nabasa tan ginadigadan din nowang.,It became wet because the carabao scratched itself against it.
187,Gagaen yo ay pasiya tan makoyot.,Chew it thoroughly because it's tough.
188,Kaman nagaga di ila na.,It looks like it's been chewed.
189,Man-gao kas innapoy.,Dish out some rice.
190,Igaokam san iyogtan mo.,Dip out some for your younger sibling.
191,Idawat mo san gibos di asin.,Give that last remaining bit of salt.
192,Ay say gibos na sa?,Is that the last of it?
193,"Adi yo gibgibosen, bomay-an kayos at-atik.","Don't use it up, leave a little bit of it."
194,Siged koma amin di itdok ta adiak igidos din nangitdo en sak-en.,Everything I teach should be good so I don't hurt the reputation of the one who taught me.
195,Nagotlo nan lawwas di takkay ko.,The forearm of my arm broke.
196,Gomoyod ka koday mo mabikas ka.,Pull me please if you are strong.
197,Goygoyodena din timba.,He is pulling up the bucket
198,Igoyod mo din sikin Christy.,Pull Christy's leg.
199,"Manbabawiak ay inmey ed Bagabag, tan man-atong baw.","I regret going to Bagabag, because it's hot."
200,"Nalogit sa, adi ka manbaktad.",That (the floor) is dirty. Don't lie down.
201,Kabadkat iman sin dakdake ay bato.,He picked the large stone right up in his hands.
202,Awni kod ta enak manbado.,Please wait so I will go get dressed.
203,Padasek kod ay manggen mo mabaelak.,I will please try to carry it if I am able.
204,Baken kan bagbagay san emeng mo.,Your mustache doesn't suit you.
205,Naballat ka.,You are lost.
206,Magay somangaw.,No complaint.
207,Mandandanak.,I am walking.
208,Sinoy wadas matam?,What is in your eye?
209,Sino din pangoan ed niman?,Who is the team leader now?
210,Pig-an di kinalpasan mo?,When did you finish?
211,Insabalig din dagem din odan.,The wind blew in the rain.
212,Mapoak ay manayayam.,I came to play.
213,Ay tet-ewa nan kanam?,Are you telling the truth?
214,"Aw, ad-adalek ed Baguio ed niman.","Yes, I am studying in Baguio now."
215,Sinab-it di pagat din pantalon ko.,Thorns snagged my pants.
216,"Las-otem, kaanem sin naisab-itana.","Unhook it, remove it from where it was hung."
217,Ay tan naladaw ka?,Why are you being delayed?
218,Agasem! Maas-asgangan kami.,We are amazed.
219,Wada abey dalloyon ay maisabsabon daida.,There were also waves splashing in on them.
220,Sab-o das na.,They are strangers here.
221,"Din asin, say maisab-ong sin makan.","Salt, that's what is added in small amounts to food."
222,Somadag ka en sak-en mo nabbay ka.,Lean against me if you are tired.
223,Insad-ang nan bado na ay nabasa sin alad.,He hung his wet shirt over the fence.
224,Kasasadot ay kaman pemewek.,"It's depressing, it's as if it's going to typhoon."
225,Sassaes-aem ay mametbet.,Cut them one at a time.
226,Nasasaew di tengngin tan nan-odan.,The cold is less severe because it rained.
227,Sasaew di lakon Lipon mo din lakon Rosa.,Lipon's prices are less expensive than Rosa's.
228,Wada din nasagana ay pao ya kaiw.,The prepared canes and poles are there.
229,Ay nabsog ka en?,Have you eaten?
230,Sag-enem ta way iyat na ay mannge.,Get closer to (him) so he can hear.
231,En ka sageyen din nilabsam.,Go back and harvest what you missed.
232,Timmuwayak ed labi.,I went outside at night.
233,Atongem nan bagi mo.,I am hugging you to keep you warm.
234,Ay mantagtag-inep ak?,Am I dreaming?
235,Ay ibagak nan ngadan mo?,Should I introduce you?
236,Dinmateng sisya sidi sin alas dose ed agsapa.,He arrived in the morning at twelve o'clock.
237,Magay salot nas istolya.,This is a story without a moral.
238,Goygoyangena din lota.,He is playing with the dirt.
239,Gawis nan liknak.,I am happy.
240,Sayos-oam kod san apoy.,Pour water all over that fire.
241,Maawatam sin ibagbagak?,Do you understand what I am saying?
242,Man-ibaw kami yan man-ogaak iman.,"We quarrelled, and I cried."
243,Natbekak si igang.,I was pierced by a small sharp stone.
244,Gominek ka kod ta siya di komali.,Let him speak.
245,Ay inisgep mo din binilag?,Did you bring the laundry into the house?
246,Pasgepem mangili ay sana.,Let that visitor inside.
247,Selag baw ed niman.,Oh I see it's full moon today.
248,Adak ammo ay mangikali uray sanka-gatin.,I am not able to tell you even a single step.
249,In-innayadem ay mandan ta adi manselak.,Walk slowly so it doesn't splash.
250,Naslakan kas pitek.,You are splashed with mud.
251,Isulat mo nan ngadan mo sina.,Write your name here.
252,Ey mo nan solat sin Post Office.,Take this letter to the Post Office.
253,Manlakoak si doway istam ay singkwenta sentabos yan esa ay sais sentabos.,I am going to buy two pieces of fifty-centavo stamps and one piece of six-centavo stamp.
254,"Tomaak ka, asi ka itpig sin apoy.","Move away, then throw it on the fire."
255,Mabbayak. Enggay nalpasak.,I am tired. I am done.
256,Natabe din awak kos alak.,My body is full if liquor
257,"Mangan takoet, adi ka bumain.","Eat, don't be shy."
258,Gawis baw mon peteg ay nasileng.,It's good but it's too flashy.
259,Wada ka pay laeng sina.,You are still here.
260,Mo magay takoli yan olay man-oto kayo sin banga.,"If there is no kettle, go ahead and cook (coffee) in the pot."
261,Sak-en di manginum.,I am the one who will drink.
262,Tined da din naanod ay nowang.,They followed after the water buffalo that was swept away.
263,Nalina / Nangina sa. Baken met say sayang?,Expensive. Isn't it a waste?
264,Nalaka laeng.,It's easy.
265,Itnengam kod mo sino san ibogbogaw da.,Please listen carefully what it is they are shouting.
266,Anggay itnep na san anak na mo?,How come he's getting his child wet in the rain?
267,Ay waday lima pesos mo?,Do you have five pesos?
268,"Uyay, pigay yaldas?","Hey, how many yards?"
269,Ay tinimbeng mo di in-otom ay innapoy?,Did you calculate the amount of rice you cooked?
270,Sinoy liknaem? / Gawis ay agew mo.,How are you?
271,Intoy naiton-odam en sis-iya?,How are you related to him?
272,Ay tan mabayag ka ay man-oto?,Why did you take a long time to cook?
273,Ammon nanang / si inak.,Mother knows.
274,Wadaak dya.,I am here.
275,"Osto, wada di manga.","Okay, there's a mango."
276,Sik-a din an-anopen ko.,You are the one I'm looking for.
277,Pigay bayad ko en daida?,How much will I pay them?
278,Peteg ay nangina.,Very expensive.
279,Opat din pilak / siping.,There are four coins.
280,Ay emeyam din ili?,Are you going to the province?
281,"Aw, sinoy kadwak ay manlogan?","Yes, who am I riding with?"
282,Lawlawa ka ay tsuper.,You are a rubbish driver.
283,Labdem ta topapenan dada.,Wrap it so it will stop the blood.
284,Emeyak ed Santa Lucia.,I am going to Santa Lucia.
285,Agpos mo manlogan kaet si bisikleta.,It's better if you ride a bicycle.
286,Intoy kabayag logan ed Baguio?,How long is the trip to Baguio?
287,"Agasem, gawis sa!","Wow, that's beautiful or amazing."
288,Mangan takoet. Ay naowat ka?,Let's eat. Are you hungry?
289,"Ay omalis ka kod, pangamaen / panginaen?","Will you come, young man/aunt?"
290,Mandan ka ta natey din manok mo.,Walk so I can have your chicken die.
291,Into din tiket yan bag ko?,Where is my ticket and my bag?
292,Isten ko tan amedyat ak sin apoy.,I am cautious about getting burned.
293,Somaa ka.,Go home.
294,Sik-a ay adi masapol ay bomallasiw sin ginawang.,You who don't have to cross the river.
295,Naloko ka mo labsam din langtay.,You are mischievous when you cross the bridge.
296,Tomowang si bogaw.,He shouts repeatedly.
297,Wada si tatang dita daya yan si nanang sin dallem.,There is a father above and a mother below/under.
298,Beey din lalaki din wadas likod di dontog.,The house behind the mountain is the house of the man.
299,En ka.,You go.
300,Gawis ka.,You are beautiful.
301,"Awni kod, adi ka emegyat sin aso.","Wait, don't be afraid of the dog."
302,Man-aalageyak sidi / Man-totokduak sidi.,I am standing there / I am sitting there.
303,Imbag ta isaldeng na.,It's good that it stopped.
304,En tako et sin uma.,Let's go to the field.
305,Abliam kod mantika.,Please open the (can of) oil.
306,Naliget ka tan din yegyeg ed Cagayan.,You are struggling because of the earthquake in Cagayan.
307,Mankokook din manok tan din tengnen.,The chicken is clucking because of the cold.
308,Mapo daida sin liyang.,They came from the cave.
309,Kinatit ak sin tengnen ed labi.,The cold bit me at night.
310,Kaman way emey ed Baguio.,It seems like someone is going to Baguio.
311,Apay nga tinpig mo din kosili?,Why did you throw stones at the bird?
312,Ay inan-anop kas gulo?,Are you looking for trouble?
313,Sapay koma ta itoltoloy yo ay mannemnemnem en dakami.,May you continue to think about us.
314,Matolyoyan din godgod ko.,My eraser will become rounded.
315,Mabalinak abe ay emey sin malkit.,I can also go to the market.
316,Ipeey mo din asokal sin danom ta matomay.,Put the sugar in the water so it will dissolve.
317,Tongkoem san bato.,Pile up those rocks.
318,Tinongpal da kano ay emey ed bowan.,They have reportedly achieved going to the moon.
319,Iwagwag mo din galey ta makaan din tilang.,Shake the blanket so the fleas will be removed.
320,Ipa-maga mo kod din balatong.,Please dry the beans.
321,Naenaban din ginawang / Man-godo.,It's going to flood.
322,Adim ipaway / Adim ipaey sin pantaew.,Do not put it outside.
323,Nalaing ka.,You are smart.
324,"Nalawa di liknak, songbatam kod.","I am lonely, you answer."
325,Ipikam. / Iubad mo.,You stand up/you stand it up.
326,Gominek ka.,Shut your mouth / you shut your mouth.
327,"Awni kod, dakuwek san nanang mo.","Hold on, let me ask your mother."
328,Bakelem daida ta itnengen da.,Hit them so they will listen.
329,Agyamanak,Thank you.
330,Iaboan yo abe si sak-en sin manok.,Chase the chickens away for me also.
331,Inabongoan da din ani.,They did the harvest as a group.
332,"Mo way bisita mis sin-asawa, magay waya sin beey mi.","If we have a married couple as visitors, we have no space in our house."
333,Enggana as wakget sin agsapa.,Until tomorrow morning.
334,"En tako et, manbolingetnan.","Come on, it's getting dark."
335,Alas dowa sin masdem / labi.,It's two o'clock in the afternoon
336,Alas kwatro wenno alas singko sin masdem.,It's four or five in the afternoon.
337,Omaliak mo way wayak.,I'll come if I have time.
338,Wayawayaak sin Dominggo tan magay oblak.,I am free on Sundays because I have no work.
339,Wayaam dakamin Emilio ta mantolag kami mo sinoy makaey.,Give Emilio and me advance notice so we will arrange who will be able to go.
340,An-anopen ko nan lapis.,I am looking for a pencil.
341,Imula ni nanang din taba-ang / panyas.,Mother plants corn.
342,Goygoyoden ni tatang din kaiw.,Father pulls the wood.
343,Ilaek din kilyat.,I look at the lightning.
344,Mankanta daida.,They sing.
345,Manseyseyek din ubing.,The child laughs.
346,Gadigadan din posa nan bagi na.,The cat scratches its skin.
347,Mantagtag din aso sin kalsada.,The dog runs on the road.
348,Itnengen mi din kali di maestro.,We listen to the teacher's words.
349,Ilon-lonak si lola ko.,I massage my grandmother.
350,Donsaren / Doparen ni tatang din luta.,Father measures the land.
351,Piduten ni nanang din itlog.,Mother picks up the egg.
352,Ipa-usarko nan kutsara.,I use a spoon.
353,Iituloy da nan obla da.,They continue their work.
354,Egnan din ubing nan takkay ni nanang na.,The child holds Mother's hand.
355,Ilaek din dontog.,I look at the mountain.
356,Songbatam din daku / kali.,You answer the question.
357,Bayowen ni tatang din begas.,Father pounds the rice.
358,Dakuwen ko di tulong.,I ask for help.
359,Man-aam-mong kami sin beey.,We gather at the house.
360,Witiwitan daka sin aso.,The dog will wag its tail at you.
361,Gawis ta nan-abat tako.,Nice to meet you.
362,As wakget kasan.,See you tomorrow.
363,Isten mo / I-anad ka.,Take care.
364,Man-oto si nanang ko tinan-ew.,My mother cooks every day.
365,Pangpangoan si manong ko en sak-en.,My brother is older than me.
366,Panginaen ko hidi.,She is my aunt.
367,Lolong ko hidi.,He is my grandfather.
368,Inpasyar mi din agi mi.,We visited our relatives.
369,Naowat ak. / Daga-angak.,I am hungry.
370,Man-atong nan gangan / sabeng na.,This soup is hot.
371,Idawat mo kod nan makan ko?,Can I have some rice?
372,Mam-is din lames di ka-ew.,The fruit is sweet.
373,En tako et man-oto si pangrabiyan.,Let's cook dinner.
374,Adak layden nan mansalsalangat ay makan.,I don't like spicy food.
375,Inila na tan naek kami sidi ya.,"He saw it because we slept there, you see."
376,Imbag ta naagew nan daya edwani.,The sky is clear today.
377,Man-atet / Tengnen nan agsapa ay nay.,It's cold this morning.
378,Mandagdagem / Mapigsa nan dagem.,The wind is strong.
379,Iali mo din payong.,Bring an umbrella.
380,Way miting ko edwani.,I have a meeting today.
381,Man-obla din babai sin kantinan.,She works at a store.
382,Enggay nalpas nan inbaga na.,He finished his report.
383,Mabbayak sin obla.,I am tired from work.
384,Palogian mi nan obla sin alas wao.,We start work at eight.
385,Way exam ko as wakget.,I have a test tomorrow.
386,Initdo di maestro din adalen.,The teacher explained the lesson.
387,Niling-ak din librok.,I forgot my book.
388,Palogian di klase sin alas siyam.,Class starts at nine.
389,Masapol ko di man-adal ed labi.,I need to study tonight.
390,Mankanta din titit.,The bird is singing.
391,Masep-seyep din ngiyaw / posa.,The cat is sleeping.
392,Mantagtag din kabayo.,The horse is running.
393,Manlangoy din bising / nankatit.,The fish is swimming.
394,Nan-itlog din manok.,The chicken laid an egg.
395,Lawa di liknak / Kamanak manmalalya.,I have a fever.
396,Man-inom ka si ad-ado ay danum.,Drink plenty of water.
397,Masapol ko nan man-inana.,I need to rest.
398,Inomem nan agas ay nay.,Take this medicine.
399,Gawis di liknak ed niman.,I feel better now.
400,Naladaw din bas / logan.,The bus is late.
401,Dinmateng kami ay nasapa.,We arrived early.
402,Into kabayag / kaadawi din landingan?,How far is the airport?
403,Napukaw ko din tiket ko.,I lost my ticket.
404,Mabayag din logan.,The trip was long.
405,Mankawanan ka sin siko.,Turn right at the corner.
406,Ipalos mo. / Keddengem ay emey.,Go straight ahead.
407,Wadas asiping di malkit.,It's near the market.
408,Adawi mapo dya.,It's far from here.
409,Isten mo ay bomallasiw sin kalsada.,Cross the street carefully.
410,Pigay nay?,How much is this?
411,Peteg ay nangina.,It's too expensive.
412,Ay waday lay banban-eg?,Do you have a smaller size?
413,Alaem ko nan nay. / Alaek nan nay.,I'll take this one.
414,Mabalin ay pilak nan ibayad ko?,Can I pay with cash?
415,Man-ay-ayus din ginawang.,The river is flowing.
416,Andodokay nan kaiw.,The trees are tall.
417,Manbunga / Manbokat nan lolas.,The flowers are blooming.
418,Lomneden din agew.,The sun is setting.
419,Gawis din dontog.,The mountain is beautiful.
420,Bumangonak ay nasapa.,I wake up early.
421,Manggusiak si bab-ak.,I brush my teeth.
422,Manganak sin agsapa sin alas siyete.,I eat breakfast at seven.
423,Masep-seyepak agan-o.,I will take a nap.
424,Maseyepak sin alas dies.,I will sleep at ten.
425,Adi ka iyagalyal tan magopak botilya.,Don't jounce it up and down because the bottles will break.
426,Kaman ay nambalangat / naled-ang sisya.,She looks sad.
427,Bungetan hidi.,He is angry.
428,Emegyatak.,I am scared.
429,Nasasangoan kami.,We are excited.
430,Esa din agik ay lalaki.,I have one brother.
431,Wada di dowa-pulo-yan-dowa ay bowan.,There are twelve months.
432,Nanlakoak si tloloy bado.,I bought three shirts.
433,Pito nan libro na.,She has seven books.
434,Omiyagalyal din logan sin lawlawa ay danan.,The vehicle is jouncing me up and down on the bad road.
435,Sinoy agew edwani?,What day is today?
436,Enggay kawayan di agew.,It's already noon.
437,Man-abat takoet as dimateng ay dominggo.,We'll meet next week.
438,Sedsedek enggana masdem.,I'll wait until evening.
439,Nasapa pay laeng.,It's still early.
440,Dalosam nan beey.,Clean the house.
441,Itangeb mo nan tangeb.,Close the door.
442,Iddepem nan silaw.,Turn off the light.
443,Man-ated nan atek.,The roof is leaking.
444,Sapuwan mo nan dalled.,Sweep the floor.
445,Man-esek kami si begas / pagay sin Hunyo.,We plant rice in June.
446,Manbunga / Manbalon nan mula.,The crops are growing.
447,Danomam nan mula.,Water the plants.
448,As din omali ay bola nan ani.,Harvest is next month.
449,Gawis nan luta.,The soil is rich.
450,"Magbado kas dyakit, matengnen.","Wear a jacket, it's cold."
451,Balo nan sapatos ay nay.,These shoes are new.
452,Labaem nan badok.,Wash my clothes.
453,Peteg ay daki nan bado ay nay.,This shirt is too big.
454,Topien mo nan oles.,Fold the blanket.
455,Gawis nan sin-asiping.,The neighbors are friendly.
456,Manbinnadang tako.,We help each other.
457,Way pesta edwani.,There's a fiesta today.
458,Naam-mong da am-in ed pantaew.,Everyone gathered outside.
459,Komedgeng nan ili.,The village is quiet.
460,Nanlakoak si balo ay telepono.,I bought a new phone.
461,Ipa-karga mo nan baterya.,Charge the battery.
462,Mabunget / Mabayag nan internet edwani.,The internet is slow today.
463,Ipa-ey mo nan kali en sak-en.,Send me the message.
464,Niling-ak nan password ko.,I forgot my password.
465,Pasilaem nan kompyuter.,Turn on the computer.
466,Magay papil nan printer.,The printer is out of paper.
467,Mankodak ka.,Take a picture.
468,Mabayag nan video.,The video is loading.
469,Masapol ko di balo ay charger.,I need a new charger.
470,Nasingil / Masileng nan bola ed labi.,The moon is bright tonight.
471,Mancalcalading nan talaw.,Stars are shining.
472,Bimmallasiw nan banyas / tinmongaw nalpas nan odan.,A rainbow appeared after the rain.
473,Komedgeng nan lona.,The lake is calm.
474,Mabolinget nan pagpag.,The forest is dark.
475,Tumayaw nan titit as din matengnen ay agew.,Birds fly south in winter.
476,Man-godo nan amgali.,The waves are crashing.
477,Mantedted nan yelo.,Snow is falling.
478,Mansukat nan koblan di tolong di kaiw.,The leaves are changing color.
479,Gimmopo nan banyas / kallauba sin lolas.,A butterfly landed on the flower.
480,Man-ay-ayamak si basketball as Sabado yan Domingo.,I play basketball on weekends.
481,Manlangoy din babai tinan-ew ay agsapa.,She swims every morning.
482,Mansursuro sisya ay mantagtag.,He is training for a race.
483,Inila mi nan ay-ayam di putbol.,We watched a football game.
484,Inabak da.,They won the match.
485,Laydek ay mansala.,I like to dance.
486,Man-gitarra sisya.,He plays the guitar.
487,Nalaing ay mankanta din babai.,She sings beautifully.
488,Mansubsubali kami tinan-ew ay agew.,We practice every day.
489,Naabak daida.,The team lost the game.
490,Masapol ko ay isukat nan ID ko.,I need to renew my ID.
491,Isulat mo nan ngadan mo sina kod.,Sign here please.
492,Iali mo din papil mo.,Bring your documents.
493,Natan-geb nan opisina edwani.,The office is closed today.
494,Isulat mo nan papil ay nay.,Fill out this form.
495,Binayaran ko nan mabyat / utang.,I paid the bill.
496,Wadas asiping nan bangko.,The bank is nearby.
497,In-iyat ko nan papil ko sin bangko.,I opened a savings account.
498,Mangaan ka si pilak sin bangko.,Withdraw some money.
499,Tinmay-at nan bayad na.,The price went up.
500,Aw yan.,"Yes, of course."
501,Ipa-seyep mo nan ubing.,Rock the baby to sleep.
502,Mandandanan nan ubing ed niman.,The toddler is walking now.
503,Pakanem nan ubing.,Feed the baby.
504,Isukat mo nan bado din ubing.,Change the diaper.
505,Ad-adal nan ubing ay mankali.,The child is learning to talk.
506,Isten mo din anan-ak.,Watch the children carefully.
507,Manayayam nan anan-ak ed pantaew.,The kids are playing outside.
508,Ipaeyam sin katre nan ubing ta maseyep.,Put the baby down for a nap.
509,Man-eek nan anan-ak.,The children are laughing.
510,Naballat nan kotse / logan.,The car broke down.
511,I-am-amod mo nan makina.,Fix the engine.
512,Ipunom nan gasolinahan di logan.,Fill the tank with gas.
513,Ilaem nan gatin di logan.,Check the tires.
