sentence_id,kankanaey_sentence,english_sentence,kankanaey_token,assigned_pos_tag
14,Omalis kas na.,Come here. ,.,
15,Adak maawatan.,I do not understand.,Adak,
15,Adak maawatan.,I do not understand.,maawatan,
15,Adak maawatan.,I do not understand.,.,
16,Man-aagagak.,I'm in a hurry.,Man-aagagak,
16,Man-aagagak.,I'm in a hurry.,.,
17,Mangan takoet.,Let’s eat now.,Mangan,
17,Mangan takoet.,Let’s eat now.,takoet,
17,Mangan takoet.,Let’s eat now.,.,
18,Man-inomak kod.,Give me a drink please.,Man-inomak,
18,Man-inomak kod.,Give me a drink please.,kod,
18,Man-inomak kod.,Give me a drink please.,.,
19,Linagak.,I made it myself.,Linagak,
19,Linagak.,I made it myself.,.,
20,Intoy napoam?,Where did you go?,Intoy,
20,Intoy napoam?,Where did you go?,napoam,
20,Intoy napoam?,Where did you go?,?,
21,Intoy emeyam?,Where are you going?,Intoy,
21,Intoy emeyam?,Where are you going?,emeyam,
21,Intoy emeyam?,Where are you going?,?,
22,Emeyak sidi.,I am going there.,Emeyak,
22,Emeyak sidi.,I am going there.,sidi,
22,Emeyak sidi.,I am going there.,.,
23,Mangon-onaak.,I'll go ahead. (said when leaving) ,Mangon-onaak,
23,Mangon-onaak.,I'll go ahead. (said when leaving) ,.,
24,Somaaak.,I'm going home.,Somaaak,
24,Somaaak.,I'm going home.,.,
25,En tako et.,Let's go.,En,
25,En tako et.,Let's go.,tako,
25,En tako et.,Let's go.,et,
25,En tako et.,Let's go.,.,
26,Adak ammo.,I don't know.,Adak,
26,Adak ammo.,I don't know.,ammo,
26,Adak ammo.,I don't know.,.,
27,Sak-en di mangamag.,Let me do it.,Sak-en,
27,Sak-en di mangamag.,Let me do it.,di,
27,Sak-en di mangamag.,Let me do it.,mangamag,
27,Sak-en di mangamag.,Let me do it.,.,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,Nabbay,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,da,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,tan,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,nan-obla,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,da,
28,Nabbay da tan nan-obla da.,They are tired because they worked.,.,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,Ay,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,ammom,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,di,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,ipogaw,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,sidi,
29,Ay ammom di ipogaw sidi?,Do you know the person there?,?,
30,Sino san kadwam?,Who is your companion?,Sino,
30,Sino san kadwam?,Who is your companion?,san,
30,Sino san kadwam?,Who is your companion?,kadwam,
30,Sino san kadwam?,Who is your companion?,?,
31,Itangeb mo din tawa.,Close the window.,Itangeb,
31,Itangeb mo din tawa.,Close the window.,mo,
31,Itangeb mo din tawa.,Close the window.,din,
31,Itangeb mo din tawa.,Close the window.,tawa,
31,Itangeb mo din tawa.,Close the window.,.,
32,Bokatam din tangeb.,Open the door.,Bokatam,
32,Bokatam din tangeb.,Open the door.,din,
32,Bokatam din tangeb.,Open the door.,tangeb,
32,Bokatam din tangeb.,Open the door.,.,
33,Niling-ak.,I forgot.,Niling-ak,
33,Niling-ak.,I forgot.,.,
34,Sino na?,What is this?,Sino,
34,Sino na?,What is this?,na,
34,Sino na?,What is this?,?,
35,Sino sa?,What is that?,Sino,
35,Sino sa?,What is that?,sa,
35,Sino sa?,What is that?,?,
36,Sino di?,What/Who was that?,Sino,
36,Sino di?,What/Who was that?,di,
36,Sino di?,What/Who was that?,?,
37,Sinoy nakin lapis issa?,Whose pencil is that?,Sinoy,
37,Sinoy nakin lapis issa?,Whose pencil is that?,nakin,
37,Sinoy nakin lapis issa?,Whose pencil is that?,lapis,
37,Sinoy nakin lapis issa?,Whose pencil is that?,issa,
37,Sinoy nakin lapis issa?,Whose pencil is that?,?,
38,Pig-an?,When?,Pig-an,
38,Pig-an?,When?,?,
39,Into?,Where?,Into,
39,Into?,Where?,?,
40,Ay tan?,Why?,Ay,
40,Ay tan?,Why?,tan,
40,Ay tan?,Why?,?,
41,Intoy iyatna?,How?,Intoy,
41,Intoy iyatna?,How?,iyatna,
41,Intoy iyatna?,How?,?,
42,Sino?,What/Who?,Sino,
42,Sino?,What/Who?,?,
43,Ipidwam kod.,Please repeat what you said?,Ipidwam,
43,Ipidwam kod.,Please repeat what you said?,kod,
43,Ipidwam kod.,Please repeat what you said?,.,
44,Komadwa ka kod.,Please come with me,Komadwa,
44,Komadwa ka kod.,Please come with me,ka,
44,Komadwa ka kod.,Please come with me,kod,
44,Komadwa ka kod.,Please come with me,.,
45,Intoy ili yo?,Where are you originally from?,Intoy,
45,Intoy ili yo?,Where are you originally from?,ili,
45,Intoy ili yo?,Where are you originally from?,yo,
45,Intoy ili yo?,Where are you originally from?,?,
46,Intoy beey yod niman,Where are you currently staying?,Intoy,
46,Intoy beey yod niman,Where are you currently staying?,beey,
46,Intoy beey yod niman,Where are you currently staying?,yod,
46,Intoy beey yod niman,Where are you currently staying?,niman,
47,Ay kadatdateng mo?,Did you just arrive?,Ay,
47,Ay kadatdateng mo?,Did you just arrive?,kadatdateng,
47,Ay kadatdateng mo?,Did you just arrive?,mo,
47,Ay kadatdateng mo?,Did you just arrive?,?,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,Ay,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,piga,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,kayo,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,ay,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,siag-i,
48,Ay piga kayo ay siag-i?,How many siblings do you have?,?,
49,Wao kami ay siag-i.,I have eight siblings.,Wao,
49,Wao kami ay siag-i.,I have eight siblings.,kami,
49,Wao kami ay siag-i.,I have eight siblings.,ay,
49,Wao kami ay siag-i.,I have eight siblings.,siag-i,
49,Wao kami ay siag-i.,I have eight siblings.,.,
50,"Aga, sak-en di an-anongos","No, I am the youngest.",Aga,
50,"Aga, sak-en di an-anongos","No, I am the youngest.",",",
50,"Aga, sak-en di an-anongos","No, I am the youngest.",sak-en,
50,"Aga, sak-en di an-anongos","No, I am the youngest.",di,
50,"Aga, sak-en di an-anongos","No, I am the youngest.",an-anongos,
51,Ay sik-ay pangpangoan?,Are you the eldest?,Ay,
51,Ay sik-ay pangpangoan?,Are you the eldest?,sik-ay,
51,Ay sik-ay pangpangoan?,Are you the eldest?,pangpangoan,
51,Ay sik-ay pangpangoan?,Are you the eldest?,?,
52,Ay waday asawam?,Do you have a spouse?,Ay,
52,Ay waday asawam?,Do you have a spouse?,waday,
52,Ay waday asawam?,Do you have a spouse?,asawam,
52,Ay waday asawam?,Do you have a spouse?,?,
53,Ay way anak mo?,Do you have children?,Ay,
53,Ay way anak mo?,Do you have children?,way,
53,Ay way anak mo?,Do you have children?,anak,
53,Ay way anak mo?,Do you have children?,mo,
53,Ay way anak mo?,Do you have children?,?,
54,"Aw, limay anak ko.","Yes, I have five children.",Aw,
54,"Aw, limay anak ko.","Yes, I have five children.",",",
54,"Aw, limay anak ko.","Yes, I have five children.",limay,
54,"Aw, limay anak ko.","Yes, I have five children.",anak,
54,"Aw, limay anak ko.","Yes, I have five children.",ko,
54,"Aw, limay anak ko.","Yes, I have five children.",.,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,Doway,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,babai,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,yan,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,toloy,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,lalaki,
55,Doway babai yan toloy lalaki.,Two girls and three boys.,.,
56,Ay dedas amam?,Is your father still alive?,Ay,
56,Ay dedas amam?,Is your father still alive?,dedas,
56,Ay dedas amam?,Is your father still alive?,amam,
56,Ay dedas amam?,Is your father still alive?,?,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",Aw,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",",",
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",mon,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",natey,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",si,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",inak,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",ed,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",taw-en,
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year.",.,
58,Lawa di liknana.,He doesn't feel well.,Lawa,
58,Lawa di liknana.,He doesn't feel well.,di,
58,Lawa di liknana.,He doesn't feel well.,liknana,
58,Lawa di liknana.,He doesn't feel well.,.,
59,Mansaksakit.,It hurts.,Mansaksakit,
59,Mansaksakit.,It hurts.,.,
60,En ka manpadoktol.,Go to the doctor.,En,
60,En ka manpadoktol.,Go to the doctor.,ka,
60,En ka manpadoktol.,Go to the doctor.,manpadoktol,
60,En ka manpadoktol.,Go to the doctor.,.,
61,Intoy kad-an doktol?,Where does the doctor reside.,Intoy,
61,Intoy kad-an doktol?,Where does the doctor reside.,kad-an,
61,Intoy kad-an doktol?,Where does the doctor reside.,doktol,
61,Intoy kad-an doktol?,Where does the doctor reside.,?,
62,Sinoy liknaem?,Tell me how you feel.,Sinoy,
62,Sinoy liknaem?,Tell me how you feel.,liknaem,
62,Sinoy liknaem?,Tell me how you feel.,?,
63,Mankedked toktok ko.,My head hurts.,Mankedked,
63,Mankedked toktok ko.,My head hurts.,toktok,
63,Mankedked toktok ko.,My head hurts.,ko,
63,Mankedked toktok ko.,My head hurts.,.,
64,Nan-ootak ed labi.,I vomited last night.,Nan-ootak,
64,Nan-ootak ed labi.,I vomited last night.,ed,
64,Nan-ootak ed labi.,I vomited last night.,labi,
64,Nan-ootak ed labi.,I vomited last night.,.,
65,Kamanak manmalalya.,I feel like I'm having malaria.,Kamanak,
65,Kamanak manmalalya.,I feel like I'm having malaria.,manmalalya,
65,Kamanak manmalalya.,I feel like I'm having malaria.,.,
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?,Ay,
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?,ammom,
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?,ay,
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?,mantagalog,
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?,?,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,Maawatak,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,di,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,at-atik,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,mon,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,adak,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,ammo,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,ay,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,mangikali,
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.,.,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,Baken,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,ostoy,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,iyat,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,ko,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,ay,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,mangikali,
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.,.,
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.,Ad-adalek,
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.,ay,
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.,mankalis,
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.,kankana-ey,
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.,.,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,Panbolod,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,ta,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,kod,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,bolpin,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,mo,
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?,.,
71,Mansolatak en nanang.,I will write a letter for my mother.,Mansolatak,
71,Mansolatak en nanang.,I will write a letter for my mother.,en,
71,Mansolatak en nanang.,I will write a letter for my mother.,nanang,
71,Mansolatak en nanang.,I will write a letter for my mother.,.,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",Masapol,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",ko,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",di,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",papil,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",",",
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",istam,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",",",
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",ya,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",inbilop,
72,"Masapol ko di papil, istam, ya inbilop.","I need a paper, a stamp, and an envelope.",.,
73,Man-a ka.,Take some more.,Man-a,
73,Man-a ka.,Take some more.,ka,
73,Man-a ka.,Take some more.,.,
74,"Osto, enggay nabsogak.","Im done, I'm already full.",Osto,
74,"Osto, enggay nabsogak.","Im done, I'm already full.",",",
74,"Osto, enggay nabsogak.","Im done, I'm already full.",enggay,
74,"Osto, enggay nabsogak.","Im done, I'm already full.",nabsogak,
74,"Osto, enggay nabsogak.","Im done, I'm already full.",.,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,Mam-is,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,di,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,insida,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,tako,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,dowan,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,mansalsalangat,
75,Mam-is di insida tako dowan mansalsalangat.,The food was delicious and spicy.,.,
76,Man-inomak kod.,Please give me something to drink.,Man-inomak,
76,Man-inomak kod.,Please give me something to drink.,kod,
76,Man-inomak kod.,Please give me something to drink.,.,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,Pigay,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,esay,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,yaldas,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,nan,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,lopot,
77,Pigay esay yaldas nan lopot?,How much for a yard of cloth?,?,
78,Nalalakaey abe.,It is already cheap.,Nalalakaey,
78,Nalalakaey abe.,It is already cheap.,abe,
78,Nalalakaey abe.,It is already cheap.,.,
79,Ay tan pigay laydem?,How much do you want then?,Ay,
79,Ay tan pigay laydem?,How much do you want then?,tan,
79,Ay tan pigay laydem?,How much do you want then?,pigay,
79,Ay tan pigay laydem?,How much do you want then?,laydem,
79,Ay tan pigay laydem?,How much do you want then?,?,
80,Sinoy nangamag sina?,Who made this?,Sinoy,
80,Sinoy nangamag sina?,Who made this?,nangamag,
80,Sinoy nangamag sina?,Who made this?,sina,
80,Sinoy nangamag sina?,Who made this?,?,
81,Ay malanko kas baskit?,Would you like to buy a basket?,Ay,
81,Ay malanko kas baskit?,Would you like to buy a basket?,malanko,
81,Ay malanko kas baskit?,Would you like to buy a basket?,kas,
81,Ay malanko kas baskit?,Would you like to buy a basket?,baskit,
81,Ay malanko kas baskit?,Would you like to buy a basket?,?,
82,Initdon nanang ko.,My mother taught me.,Initdon,
82,Initdon nanang ko.,My mother taught me.,nanang,
82,Initdon nanang ko.,My mother taught me.,ko,
82,Initdon nanang ko.,My mother taught me.,.,
83,Egenak kod ay.,Let me carry it for you.,Egenak,
83,Egenak kod ay.,Let me carry it for you.,kod,
83,Egenak kod ay.,Let me carry it for you.,ay,
83,Egenak kod ay.,Let me carry it for you.,.,
84,Manlogan ka sin bas ay doy.,You take the bus there.,Manlogan,
84,Manlogan ka sin bas ay doy.,You take the bus there.,ka,
84,Manlogan ka sin bas ay doy.,You take the bus there.,sin,
84,Manlogan ka sin bas ay doy.,You take the bus there.,bas,
84,Manlogan ka sin bas ay doy.,You take the bus there.,ay,
84,Manlogan ka sin bas ay doy.,You take the bus there.,doy,
84,Manlogan ka sin bas ay doy.,You take the bus there.,.,
85,Omonad ka.,Follow me.,Omonad,
85,Omonad ka.,Follow me.,ka,
85,Omonad ka.,Follow me.,.,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,Intoy,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,panloganan,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,si,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,emey,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,ed,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,Baguio,
86,Intoy panloganan si emey ed Baguio?,Where can you get a ride to Baguio?,?,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",Isdi,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",",",
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",mon,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",agpos,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",mo,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",manlogan,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",kaet,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",si,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",traysikel,
87,"Isdi, mon agpos mo manlogan kaet si traysikel.","Over there, but it's better to take a tricycle.",.,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,Intoy,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,kabayag,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,logan,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,ed,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,La,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,Trinidad,
88,Intoy kabayag logan ed La Trinidad.,How long does it take to go to La Trinidad.,.,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,Emey,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,samet,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,ay,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,wao,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,ay,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,olas,
89,Emey samet ay wao ay olas.,Maybe around eight hours.,.,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,Mandan,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,ka,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,sin,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,kanigid,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,mo,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,labsam,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,din,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,langtay,
90,Mandan ka sin kanigid mo labsam din langtay.,You turn left after you pass through the bridge.,.,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,Intos,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,das,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,tatang,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,yan,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,nanang,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,mo,
91,Intos das tatang yan nanang mo?,Where is your mother and father.,?,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,Beey,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,angkel,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,din,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,wadas,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,likod,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,di,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,singbaan,
92,Beey angkel din wadas likod di singbaan.,Uncle's house is behind the church.,.,
93,Manikid kas di.,Climb up there.,Manikid,
93,Manikid kas di.,Climb up there.,kas,
93,Manikid kas di.,Climb up there.,di,
93,Manikid kas di.,Climb up there.,.,
94,Bomallalong kas na.,Come down here.,Bomallalong,
94,Bomallalong kas na.,Come down here.,kas,
94,Bomallalong kas na.,Come down here.,na,
94,Bomallalong kas na.,Come down here.,.,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,Isaldeng,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,mo,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,sin,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,solyon,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,di,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,kalsada,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,ay,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,sana,
95,Isaldeng mo sin solyon di kalsada ay sana.,Stop at the corner.,.,
96,Mandisaagak sina.,I will get off here.,Mandisaagak,
96,Mandisaagak sina.,I will get off here.,sina,
96,Mandisaagak sina.,I will get off here.,.,
97,Imbag ta naagew.,Good thing it's sunny.,Imbag,
97,Imbag ta naagew.,Good thing it's sunny.,ta,
97,Imbag ta naagew.,Good thing it's sunny.,naagew,
97,Imbag ta naagew.,Good thing it's sunny.,.,
98,Man-atong tan tiyagew.,It's hot because it's the dry season.,Man-atong,
98,Man-atong tan tiyagew.,It's hot because it's the dry season.,tan,
98,Man-atong tan tiyagew.,It's hot because it's the dry season.,tiyagew,
98,Man-atong tan tiyagew.,It's hot because it's the dry season.,.,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,Mandagdagem,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,tan,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,way,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,pewek,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,edwani,
99,Mandagdagem tan way pewek edwani.,It's windy because there's a typhoon today.,.,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,Man-atong,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,sina,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,mon,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,man-atet,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,ed,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,Atok,
100,Man-atong sina mon man-atet ed Atok.,It's hot here but it's cold at Atok.,.,
101,Sinoy olas ay palogian di miting?,What time will the meeting start?,Sinoy,
101,Sinoy olas ay palogian di miting?,What time will the meeting start?,olas,
101,Sinoy olas ay palogian di miting?,What time will the meeting start?,ay,
